year_manufactured,brand,model,km_tra,fuel,trans,rto,emi,sale_price
2019,Maruti,Celerio,85350,CNG,Manual,Haryana,6432.0,329000.0
2019,Maruti,New Wagon-R,74374,Petrol,Manual,Haryana,5719.0,324000.0
2022,Hyundai,NEW SANTRO,91678,CNG,Manual,Haryana,6743.0,382000.0
2022,Tata,NEXON,21703,Petrol,Manual,Karnataka,12233.0,693000.0
2020,KIA,SONET,38236,Petrol,Manual,Uttar Pradesh,10203.0,578000.0
2016,Maruti,Celerio,66324,Petrol,Manual,Haryana,5702.0,256000.0
2017,Hyundai,Elite i20,99127,Petrol,Manual,Gujarat,7630.0,390000.0
2014,Hyundai,Xcent,70366,Petrol,Manual,Madhya Pradesh,9590.0,289000.0
2014,Hyundai,Grand i10,37475,Petrol,Auto,Haryana,10163.0,306000.0
2017,Mahindra,TUV300,94891,Diesel,Manual,Telangana,12413.0,558000.0
2014,Maruti,Alto 800,43217,Petrol,Manual,Tamil Nadu,7299.0,220000.0
2018,Maruti,Ciaz,72881,Petrol,Auto,Delhi,9229.0,523000.0
2019,Renault,Kwid,93218,Petrol,Manual,Maharashtra,5224.0,296000.0
2014,Maruti,Alto K10,48947,Petrol,Auto,Delhi,7163.0,216000.0
2021,Landrover,RANGE ROVER VELAR,43114,Diesel,Auto,Maharashtra,107443.0,6275000.0
2020,Hyundai,Elite i20,57476,Petrol,Manual,Maharashtra,9989.0,566000.0
2016,Renault,Kwid,84648,CNG,Manual,Maharashtra,7843.0,236000.0
2014,Maruti,Celerio,77017,Petrol,Manual,Delhi,7576.0,228000.0
2018,Ford,FREESTYLE,111118,Diesel,Manual,Telangana,8920.0,401000.0
2017,Datsun,Redi Go,34713,Petrol,Manual,Haryana,3292.0,168000.0
2014,Honda,Amaze,62634,Petrol,Manual,Uttar Pradesh,8915.0,268000.0
2014,Maruti,Alto 800,37894,Petrol,Manual,Tamil Nadu,7227.0,218000.0
2019,Jeep,Compass,81091,Petrol,Auto,Maharashtra,16266.0,950000.0
2019,Mahindra,MARAZZO,87991,Diesel,Manual,West Bengal,7336.0,416000.0
2021,Maruti,Dzire,30819,Petrol,Manual,Delhi,9308.0,527000.0
2024,Maruti,Grand Vitara,29719,Petrol,Manual,Delhi,15581.0,910000.0
2014,Hyundai,Grand i10,72360,Petrol,Manual,Delhi,9438.0,284000.0
2014,Hyundai,Grand i10,33293,Petrol,Manual,Delhi,8775.0,264000.0
2019,Maruti,Celerio X,30013,Petrol,Manual,Delhi,5698.0,323000.0
2021,Hyundai,VENUE,17438,Petrol,Manual,Delhi,9391.0,532000.0
2022,Mahindra,XUV700,33015,Petrol,Manual,Haryana,21917.0,1280000.0
2016,Maruti,Baleno,68656,Petrol,Manual,Delhi,7745.0,348000.0
2016,Maruti,Celerio,86564,Petrol,Auto,Haryana,6252.0,281000.0
2015,Maruti,Swift Dzire,72724,CNG,Manual,Delhi,15882.0,337000.0
2017,Ford,Figo Aspire,58060,Petrol,Manual,Haryana,6042.0,309000.0
2018,Hyundai,Grand i10,45296,Petrol,Manual,West Bengal,5898.0,334000.0
2020,Renault,Kwid,55336,Petrol,Manual,Gujarat,4906.0,278000.0
2022,Nissan,MAGNITE,46816,Petrol,Manual,Uttar Pradesh,7312.0,414000.0
2022,Tata,NEXON,62509,Petrol,Manual,Haryana,11043.0,626000.0
2023,Mahindra,XUV700,52319,Diesel,Manual,Haryana,25170.0,1470000.0
2013,Hyundai,i10,31075,Petrol,Manual,West Bengal,9386.0,199000.0
2016,Hyundai,Creta,44972,Petrol,Manual,Uttar Pradesh,10439.0,469000.0
2017,Tata,TIGOR,53609,Petrol,Manual,Uttar Pradesh,6252.0,320000.0
2018,Hyundai,Verna,24938,Petrol,Manual,Delhi,9389.0,532000.0
2019,Maruti,Vitara Brezza,24951,Diesel,Manual,Uttar Pradesh,19882.0,599000.0
2019,Tata,NEXON,41306,Petrol,Manual,Uttar Pradesh,7863.0,445000.0
2018,Tata,Tiago,62656,Petrol,Manual,Maharashtra,5858.0,332000.0
2016,Tata,Tiago,82724,Petrol,Manual,Gujarat,6179.0,278000.0
2012,Maruti,Alto 800,47778,Petrol,Manual,Gujarat,11124.0,125000.0
2018,Honda,Amaze,62085,Petrol,Manual,Haryana,6908.0,391000.0
2016,Maruti,Ciaz,27213,Petrol,Manual,Uttar Pradesh,8553.0,385000.0
2014,Honda,Amaze,57485,Diesel,Manual,Maharashtra,14260.0,303000.0
2016,Maruti,Celerio,71885,CNG,Manual,Maharashtra,10455.0,315000.0
2018,Tata,Tiago,35391,Petrol,Manual,Maharashtra,6566.0,372000.0
2016,Renault,Kwid,56424,Petrol,Manual,Maharashtra,4789.0,215000.0
2017,Honda,Amaze,74364,Petrol,Manual,Uttar Pradesh,6877.0,352000.0
2017,Hyundai,Grand i10,35857,CNG,Manual,Uttar Pradesh,8269.0,314000.0
2017,Tata,Tiago,65432,Petrol,Manual,Rajasthan,6572.0,336000.0
2018,Maruti,Alto K10,87853,Petrol,Manual,Bihar,4325.0,245000.0
2013,Hyundai,i10,60984,Petrol,Auto,Delhi,9636.0,205000.0
2014,Honda,Amaze,31379,Petrol,Manual,Karnataka,10598.0,319000.0
2019,Maruti,Alto K10,35115,Petrol,Manual,Bihar,4524.0,256000.0
2019,Maruti,Baleno,79638,Petrol,Auto,Maharashtra,9589.0,543000.0
2015,Toyota,Etios,64189,CNG,Manual,Delhi,14127.0,300000.0
